video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"c9-LUjgLGp8","TANTANGAN COKELAT VS BENDA ASLI || Terakhir BERHENTI Menang! Hari HALLOWEEN oleh 123 GO! CHALLENGE","2020-11-21T11:29:43Z","UC-S7cyZCojMeVopBkH6yNEw","123 GO! CHALLENGE Indonesian","24","20.27.11","123 go challenge|123go challenge|tantangan|123 go|123go|challenge|123go challenge indonesia|jail|seru|lucu|tantangan 123 go|tantangan 123go","11939412","69908","22886","12253","https://i.ytimg.com/vi/c9-LUjgLGp8/default.jpg","False","False","Wahai para penggemar cokelat!Kami punya tantangan baru, nih! Bukan sembarang tantangan, tapi Cokelat VS Barang Asli! Menurut kalian ga seru?! Siapa bilang? Kami bikin edisi spesial hari Halloween buat kalian! Selamat menonton!Rencana hari Halloween tahun ini kamu mau makan cokelat apa? Apa kalian lebih memilih cokelat dibanding ponsel, dompet, atau labu? Jangan lupa untuk membagikan video ini dengan temanmu dan selamat Halloween!Berlangganan ke channel YouTube kami ya, biar tidak terlewat video kami!#123GO #cokelatvsbarangasli #HalloweenVideo ini ditujukan sebagai hiburan. Kami tidak menjamin kelengkapan, keamanan, dan kelayakan apa pun. Segala tindakan yang dilakukan berdasarkan informasi di video ini akan sepenuhnya menjadi risiko pelaku, dan kami tidak akan bertanggung jawab atas segala kerusakan dan kehilangan. Pemirsa bertanggung jawab penuh untuk menilai, merawat, dan melakukan tindak pencegahan jika berencana untuk meniru.Video berikut ini mungkin menampilkan aktivitas yang dilakukan oleh aktor-aktor kami dalam lingkungan terkendali - mohon bertindak penuh pertimbangan, kewaspadaan, dan kehati-hatian apabila hendak meniru.Berlangganan 123 GO! CHALLENGE Indonesian: https://clck.ru/JxtU7Musik oleh Epidemic Sound  https://www.epidemicsound.com/Materi stok (foto, rekaman, dan lain-lain):https://www.depositphotos.comhttps://www.shutterstock.comhttps://elements.envato.com"
"A5H8zBb3iao","NCT U 엔시티 유 '90's Love' MV","2020-11-23T09:00:02Z","UCEf_Bc-KVd7onSeifS3py9g","SMTOWN","10","20.27.11","[none]","24355590","1486524","12369","402092","https://i.ytimg.com/vi/A5H8zBb3iao/default.jpg","False","False","NCT's 2nd album NCT - The 2nd Album RESONANCE Pt.2 is out!🎧Listen and download on your favorite platform: https://smarturl.it/NCT_RESONANCE_Pt2🎁Official store: https://nct2020official.comNCT Officialhttp://www.nct2020.comhttp://www.youtube.com/nctsmtownhttp://www.facebook.com/NCT.smtownhttp://www.instagram.com/ncthttp://twitter.com/NCTsmtown#NCT #90sLove #RESONANCE #RESONANCE_Pt2 #NCT_RESONANCENCT U 엔시티 유 '90's Love' MV ℗ SM Entertainment"
"-5q5mZbe3V8","BTS (방탄소년단) 'Life Goes On' Official MV","2020-11-20T04:58:11Z","UC3IZKseVpdzPSBaWxBxundA","Big Hit Labels","10","20.27.11","BIGHIT|빅히트|방탄소년단|BTS|BANGTAN|방탄","141442250","11204594","114087","4099959","https://i.ytimg.com/vi/-5q5mZbe3V8/default.jpg","False","False","BTS (방탄소년단) 'Life Goes On' Official MVCredits:Director: Jeon Jung KookAssistant Director: Yong Seok Choi, Jihye Yoon (Lumpens)Photo: Nu KimDirector of Photography: Hyunwoo Nam (GDW)Focus Puller: Sangwoo Yun2nd AC: Eunki Kim3rd AC: Kyuwon SeoGaffer: Choi Doo Soo (DS LIGHT)Lighting Crew: Jung Yu Jin, Kim Jun O, Lee Seong Min, Kim Sung Wook, Lee HyunsuArt Director: Bona Kim, Jinsil Park (MU:E)Assistant Art Team: Yeri Kang, Minjung Kim (MU:E)Art-team Manager: ilho Heo (MU:E)Visual Creative: Nu Kim, Sabinne Cheon, Lee Sun Kyoung, Kim Ga Eun, Cha Yeon HwaArtist Management: Kim Shin Gyu, Kim Su Bin, Kim Dae Young, Park Jun Tae, An Da Sol, Ahn Jong Hun, Yun Tae Woong, Lee Seung Byeong, Lee Jung Min, Lee Hyeon KiBig Hit Entertainment. Rights are reserved selectively in the video. Unauthorized reproduction is a violation of applicable laws. Manufactured by Big Hit Entertainment, Seoul, Korea.Connect with BTS: https://ibighit.com/bts http://twitter.com/BTS_bighithttp://twitter.com/BTS_twt http://www.facebook.com/bangtan.official https://www.youtube.com/user/BANGTANTV http://instagram.com/BTS.bighitofficial https://channels.vlive.tv/FE619 https://www.tiktok.com/@bts_official_bighithttps://weverse.onelink.me/qt3S/94808190https://www.weibo.com/BTSbighithttps://www.weibo.com/BTSmembers http://i.youku.com/btsofficial http://btsblog.ibighit.com#BTS #방탄소년단 #LifeGoesOn #BTS_BE #MV"
"cGyFgxvkKU8","[FULL] Pernyataan Lengkap Pangdam Jaya Kritik Rizieq Shihab","2020-11-20T07:46:58Z","UC5BMIWZe9isJXLZZWPWvBlg","KOMPASTV","25","20.27.11","TNI|PANGDAM JAYA|RIZIEQ SHIHAB|BALIHO|FPI|kompas|berita kompas|berita kompastv|kompas news|kompastv|kompas tv|kompastv live streaming|kompas tv live streaming|live streaming|indonesia|news|youtube news","5201775","162674","21899","61330","https://i.ytimg.com/vi/cGyFgxvkKU8/default.jpg","False","False","JAKARTA, KOMPAS.TV - Gerah dengan ucapan pimpinan Front Pembela Islam (FPI) Habib Rizieq Syihab di acara Maulid Nabi, Pangdam Jaya sampaikan kritik. Menurut Panglima Kodam Jaya Mayjen TNI Dudung Abdurachman sebagai orang Islam dirinya prihatin kalau ada seorang habib di peringatan Maulid Nabi bahasa dan ucapannya kotor.kalau katanya sebagai imam besar, kalau dibilang sebagai kiai atau sebagai habib, karena habib atau kiai itu selalu hatinya baik, jadi kalau ucapan tidak baik, itu bukan habib namanya itu, saya ini orang Islam juga, seorang muslim, mengajarkan selalu Islam itu agama yang rahmatan lil alamin, agama yang mengajarkan kasih sayang, kasih sayang untuk seluruh alam semesta bukan hanya manusia saja, untuk alam semesta. Kemudian jangan asal bicara sembarangan, jaga dari siksa api neraka. Allah sudah berfirman. (Membacakan ayat). Hai orang-orang yang beriman, jagalah dirimu dan keluargamu dari api neraka. Ucapan dan tindakan itu harus baik, harus baik, saya sebagai orang Islam prihatin kalau ada seorang habib di peringatan Maulid Nabi bahasa dan ucapannya kotor, saya prihatin dan tidak terima sebagai orang muslim.ucap Dudung. Dudung pun tak segan mengatakan penurunan baliho Habib Rizieq atas perintahnya.Begini, kalau siapa pun di republik ini, ini negara, negara hukum, harus taat kepada hukum, kalau masang baliho sudah jelas ada aturannya, ada bayar pajak, dan tempat ditentukan, jangan seenaknya sendiri, seakan-akan dia paling benar, nggak ada itu. Nggak ada, kata Dudung.Jangan coba-coba pokoknya. Kalau perlu, FPI bubarkan saja itu. Bubarkan saja, tegas Dudung."
"xRMYoKj9TO0","Kesaksian Ngabalin saat Menteri Edhy Terjaring OTT KPK (Part 1) | Mata Najwa","2020-11-26T00:00:09Z","UCo8h2TY_uBkAVUIc14m_KCA","Najwa Shihab","25","20.27.11","mata najwa|najwa shihab|narasi|trans 7|menteri|edhy prabowo|menteri kelautan dan perikanan|korupsi|ott kpk|kpk|kasus korupsi|jokowi|lobster|benih lobster|susi pudjiastuti|ali ngabalin|gerindra|fahri hamzah|nelayan|indonesia|politik","708944","9916","552","5060","https://i.ytimg.com/vi/xRMYoKj9TO0/default.jpg","False","False","Menteri Terjaring Lobster (Part 1)KPK menangkap Edhy di Hawaii, Amerika Serikat. Waktu itu Edhy sedang melakukan kunjungan kerja dan Ngabalin, sebagai pembina kementerian itu, ikut dalam rombongan Edhy ke sana.“Semua berita penangkapan di dalam pesawat dengan sangat ketat, itu adalah berita yang menyesatkan. Saya saksikan langsung, KPK dengan luar bisa membangun komunikasi yang bagus dengan Pak Edhy, dan Pak Edhy juga kooperatif,” kata Ngabalin.#MataNajwa #kapalapi(Narasi)Tonton juga Mata Najwa eps. [Menteri Terjaring Lobster] dan episode lainnya di https://www.narasi.tv atau klik link di bawah.Part 1 - https://bit.ly/3764RIFPart 2 - https://bit.ly/3nYe38MPart 3 - https://bit.ly/33huxkdPart 4 - https://bit.ly/33l1IUiPart 5 - https://bit.ly/39eZRnJPart 6 - https://bit.ly/3q5kXuSPart 7 - https://bit.ly/39hMa7sJangan lupa subscribe, tinggalkan komentar dan share.Tonton konten lainnya juga di YouTube Channel:- Narasi http://bit.ly/SubscribeYouTubeNarasi- Narasi Newsroom http://bit.ly/SubscribeNarasiNewsroom- Narasi Entertainment http://bit.ly/SubscribeYTNarasiEntertainment- Narasi Stories http://bit.ly/SubscribeNarasiStories- Narasi Talks http://bit.ly/SubscribeNarasiTalks- Narasi Sports http://bit.ly/SubscribeNarasiSportsJangan lupa subscribe yaa..Follow:https://www.instagram.com/najwashihabhttps://twitter.com/NajwaShihabhttps://www.facebook.com/najwashihabofficial"
"n1fvSxPgUPs","Cerita Fahri Hamzah Dapatkan Izin Ekspor Benih Lobster (Part 2) | Mata Najwa","2020-11-26T00:01:22Z","UCo8h2TY_uBkAVUIc14m_KCA","Najwa Shihab","25","20.27.11","mata najwa|najwa shihab|narasi|trans 7|politik|jokowi|korupsi|menteri|edhy prabowo|lobster|benih lobster|menteri kelautan dan perikanan|fahri hamzah|dedi mulyadi|kpk|ott kpk|nelayan|susi pudjiastuti|kasus korupsi","501396","5305","306","2849","https://i.ytimg.com/vi/n1fvSxPgUPs/default.jpg","False","False","Menteri Terjaring Lobster (Part 2)Menurut Fahri Hamzah, ada banyak persyaratan yang mesti dipenuhi untuk dapat izin ekspor benih lobster. Mantan wakil ketua DPR tersebut berhasil memenuhinya.Fahri menyebut ada 30 syarat administrasi. Lalu, perusahaan pengaju izin harus memiliki nelayan binaan. Perusahaan pun harus membeli benih ke nelayan. Hal-hal ini, menurut wakil ketua umum Partai Gelora tersebut, bikin senang nelayan.Semua nelayan pesta dan senang dengan kebijakan ini. Karena memberikan mereka kehidupan, kata Fahri.#MataNajwa #kapalapi(Narasi)Tonton juga Mata Najwa eps. [Menteri Terjaring Lobster] dan episode lainnya di https://www.narasi.tv atau klik link di bawah.Part 1 - https://bit.ly/3764RIFPart 2 - https://bit.ly/3nYe38MPart 3 - https://bit.ly/33huxkdPart 4 - https://bit.ly/33l1IUiPart 5 - https://bit.ly/39eZRnJPart 6 - https://bit.ly/3q5kXuSPart 7 - https://bit.ly/39hMa7sJangan lupa subscribe, tinggalkan komentar dan share.Tonton konten lainnya juga di YouTube Channel:- Narasi http://bit.ly/SubscribeYouTubeNarasi- Narasi Newsroom http://bit.ly/SubscribeNarasiNewsroom- Narasi Entertainment http://bit.ly/SubscribeYTNarasiEntertainment- Narasi Stories http://bit.ly/SubscribeNarasiStories- Narasi Talks http://bit.ly/SubscribeNarasiTalks- Narasi Sports http://bit.ly/SubscribeNarasiSportsJangan lupa subscribe yaa..Follow:https://www.instagram.com/najwashihabhttps://twitter.com/NajwaShihabhttps://www.facebook.com/najwashihabofficial"
"UmFCLRqMkCc","HIGHLIGHTS | SPURS 2-0 MAN CITY | Son and Lo Celso goals beat City!","2020-11-21T22:00:04Z","UCEg25rdRZXg32iwai6N6l0w","Tottenham Hotspur","17","20.27.11","Spurs|Tottenham Hotspur|토트넘|손흥민|Spurs 2-0 Man City|Son Man City|Son goal|lo Celso|Tottenham highlights|Man City highlights","4464543","58082","2043","4180","https://i.ytimg.com/vi/UmFCLRqMkCc/default.jpg","False","False","Watch highlights from Tottenham Hotspur's 2-0 Premier League win against Manchester City."
"ZeerrnuLi5E","aespa 에스파 'Black Mamba' MV","2020-11-17T09:00:22Z","UCEf_Bc-KVd7onSeifS3py9g","SMTOWN","10","20.27.11","에스파뮤비|SM신인걸그룹|KPOP|SM New Girl Group","56479130","1932432","94776","411629","https://i.ytimg.com/vi/ZeerrnuLi5E/default.jpg","False","False","aespa's debut single Black Mamba is Out!🎧Listen and download on your favorite platform: https://smarturl.it/aespa_BlackMamba🐍The Debut Stage https://youtu.be/Ky5RT5oGg0wSubscribe to aespa Official YouTube Channel!https://www.youtube.com/aespa?sub_confirmation=1aespa officialhttps://www.youtube.com/c/aespahttps://www.instagram.com/aespa_officialhttps://twitter.com/aespa_Officialhttps://www.facebook.com/aespa.officialhttps://weibo.com/aespa#aespa #æspa #BlackMamba #블랙맘바 #에스파aespa 에스파 'Black Mamba' MV ℗ SM Entertainment"
"yQUU29NwNF4","aespa(에스파) - Black Mamba @인기가요 inkigayo 20201122","2020-11-22T10:35:29Z","UCS_hnpJLQTvBkqALgapi_4g","스브스케이팝 / SBS KPOP","24","20.27.11","Inkigayo|인기가요직캠|안방1열직캠","3661982","232821","9996","10141","https://i.ytimg.com/vi/yQUU29NwNF4/default.jpg","False","False","aespa - Black Mamba #SBSInkigayo_EP1072에스파 - Black Mamba #aespa #Black_MambaSBS Inkigayo(인기가요) is a Korean music program broadcast by SBS. The show features some of K-pop artists’ performance every Sunday, 15:50pm.  Check out this week’s Inkigayo Line up and meet your favorite artist!"
"OoIXf-KB96o","INDONESIAN IDOL TERBONGKAR SAMPE DANIEL MANANTA KELUAR! TERNYATA... | #DibalikPintu","2020-11-22T07:00:05Z","UCdpxBSzxXGz_J4K30YGvk_Q","Boy William","24","20.27.11","Indonesian Idol|Daniel mananta|boy william|dibalik pintu|#Dibalik pintu|#Dibalik pintu Daniel Mananta|Daniel mananta keluar indonesian idol|#IndonesianIdol","2507020","104641","1416","8518","https://i.ytimg.com/vi/OoIXf-KB96o/default.jpg","False","False","Kali ini kita ke rumah Daniel Mananta, pertama kalinya selama ada di dunia entertainment, Daniel opens his home for cameras! Kenapa Daniel keluar dari Idol? Ada apa dengan Indonesian Idol? Terbongkar semua!#IndonesianIdol"
